request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_103,28869,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 125500 minimum protected through the 90-day forecast.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today; the plan keeps the retained minimum protected for 90 days.
request_105,36567.88,affordable_with_plan,full_payment,2026-06-08:53500,,reduce_to:event_9720:1632,Pay INR 53500 today; the permitted spending changes keep the retained minimum protected.
request_106,538.44,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,Wait and pay EUR 2207.70 on 2025-02-15; full-payment capacity is first forecast on 2025-02-15.
request_107,0.00,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 1600.00 minimum protected through the 90-day forecast.
request_108,4736.92,affordable_later,not_recommended,none,2026-09-15,none,No eligible plan keeps the ZAR 24100 minimum protected through the 90-day forecast.
request_109,984.47,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-03-15.
request_110,13716.84,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 11200 minimum protected through the 90-day forecast.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today; the plan keeps the retained minimum protected for 90 days.
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today; the plan keeps the retained minimum protected for 90 days.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 today; the plan keeps the retained minimum protected for 90 days.
request_114,57022.64,affordable_with_plan,full_payment,2026-01-04:65300,2026-03-15,reduce_to:event_10561:1890,Pay INR 65300 today; the permitted spending changes keep the retained minimum protected.
request_115,16371.71,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Wait and pay INR 80500 on 2024-11-15; full-payment capacity is first forecast on 2024-11-15.
request_116,26598.79,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 80300 minimum protected through the 90-day forecast.
request_117,880.00,affordable_now,full_payment,2026-07-05:880.00,2026-07-05,none,Pay EUR 880.00 today; the plan keeps the retained minimum protected for 90 days.
request_118,738.10,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_119,70634.69,affordable_later,not_recommended,none,2025-07-15,none,No eligible plan keeps the INR 151200 minimum protected through the 90-day forecast.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today; the plan keeps the retained minimum protected for 90 days.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today; the plan keeps the retained minimum protected for 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today; the plan keeps the retained minimum protected for 90 days.
request_124,1648.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-06-15.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 today; the plan keeps the retained minimum protected for 90 days.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today; the plan keeps the retained minimum protected for 90 days.
request_127,17281.55,affordable_later,wait,2024-10-15:23980,2024-10-15,none,Wait and pay ZAR 23980 on 2024-10-15; full-payment capacity is first forecast on 2024-10-15.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today; the plan keeps the retained minimum protected for 90 days.
request_129,106.95,not_affordable,not_recommended,none,,none,No eligible plan keeps the USD 800.00 minimum protected through the 90-day forecast.
request_130,690.54,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,Wait and pay USD 1978.80 on 2025-02-15; full-payment capacity is first forecast on 2025-02-15.
request_131,1376.55,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-23,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2025-06-23.
request_132,166.96,affordable_with_plan,full_payment,2026-01-05:379.86,,reduce_to:event_12142:26,Pay USD 379.86 today; the permitted spending changes keep the retained minimum protected.
request_133,15770000,affordable_later,not_recommended,none,2024-03-07,none,No eligible plan keeps the IDR 9986200 minimum protected through the 90-day forecast.
request_134,7210010.38,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,Wait and pay IDR 21831000 on 2025-08-15; full-payment capacity is first forecast on 2025-08-15.
request_135,304.80,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,Pay USD 304.80 today; the plan keeps the retained minimum protected for 90 days.
request_136,560.40,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,Pay USD 560.40 today; the plan keeps the retained minimum protected for 90 days.
request_137,8127.94,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 71800 minimum protected through the 90-day forecast.
request_138,1117.90,affordable_with_plan,partial_payment,2026-04-07:1117.90|2026-04-15:139.04,2026-04-15,none,Pay EUR 1117.90 today and the remaining balance later; full-payment capacity is first forecast on 2026-04-15.
request_139,2014.67,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-09-15.
request_140,7350.20,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 21600 minimum protected through the 90-day forecast.
request_141,26662.02,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 67300 minimum protected through the 90-day forecast.
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Pay USD 1263.60 today; the plan keeps the retained minimum protected for 90 days.
request_143,4466.60,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 11300 minimum protected through the 90-day forecast.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today; the plan keeps the retained minimum protected for 90 days.
request_145,61523.43,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-05-15.
request_146,35157.89,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 108600 minimum protected through the 90-day forecast.
request_147,464.24,affordable_later,not_recommended,none,2026-06-15,none,No eligible plan keeps the EUR 900.00 minimum protected through the 90-day forecast.
request_148,9220.38,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-08-15.
request_149,27578.85,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2025-11-15.
request_150,224.31,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 700.00 minimum protected through the 90-day forecast.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today; the plan keeps the retained minimum protected for 90 days.
request_152,13020.85,affordable_later,not_recommended,none,2025-04-15,none,No eligible plan keeps the ZAR 11900 minimum protected through the 90-day forecast.
request_153,260.57,not_affordable,not_recommended,none,,none,No eligible plan keeps the USD 1400.00 minimum protected through the 90-day forecast.
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today; the plan keeps the retained minimum protected for 90 days.
request_156,10775.31,affordable_later,wait,2026-06-15:43076,2026-06-15,none,Wait and pay ZAR 43076 on 2026-06-15; full-payment capacity is first forecast on 2026-06-15.
request_157,7651377.17,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 15714100 minimum protected through the 90-day forecast.
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today; the plan keeps the retained minimum protected for 90 days.
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-07-15.
request_161,0,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 23010400 minimum protected through the 90-day forecast.
request_162,4404851.23,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 24161100 minimum protected through the 90-day forecast.
request_163,15513824.26,affordable_later,not_recommended,none,2024-10-15,none,No eligible plan keeps the IDR 26728700 minimum protected through the 90-day forecast.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today; the plan keeps the retained minimum protected for 90 days.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today; the plan keeps the retained minimum protected for 90 days.
request_168,19400.12,affordable_with_plan,partial_payment,2026-01-07:19400.12|2026-03-15:29979.88,2026-03-15,none,Pay INR 19400.12 today and the remaining balance later; full-payment capacity is first forecast on 2026-03-15.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today; the plan keeps the retained minimum protected for 90 days.
request_170,36253398.40,affordable_later,not_recommended,none,2025-08-15,none,No eligible plan keeps the IDR 24715800 minimum protected through the 90-day forecast.
request_171,106.11,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 500.00 minimum protected through the 90-day forecast.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,Use the supplied 2-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_173,59160.60,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 79100 minimum protected through the 90-day forecast.
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Pay EUR 2346.30 today; the plan keeps the retained minimum protected for 90 days.
request_176,488.84,affordable_later,not_recommended,none,2025-04-15,none,No eligible plan keeps the EUR 600.00 minimum protected through the 90-day forecast.
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Pay USD 1017.60 today; the plan keeps the retained minimum protected for 90 days.
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_179,14385647.03,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,Wait and pay IDR 41648000 on 2025-07-15; full-payment capacity is first forecast on 2025-07-15.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today; the plan keeps the retained minimum protected for 90 days.
request_181,722.21,not_affordable,not_recommended,none,,none,No eligible plan keeps the USD 2000.00 minimum protected through the 90-day forecast.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today; the plan keeps the retained minimum protected for 90 days.
request_183,22765539.50,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 11878300 minimum protected through the 90-day forecast.
request_184,13878,not_affordable,not_recommended,none,,none,No eligible plan keeps the INR 110800 minimum protected through the 90-day forecast.
request_185,459.94,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 1300.00 minimum protected through the 90-day forecast.
request_186,11855.84,not_affordable,not_recommended,none,,none,No eligible plan keeps the ZAR 22000 minimum protected through the 90-day forecast.
request_187,44971.01,affordable_later,wait,2024-11-15:187500,2024-11-15,none,Wait and pay INR 187500 on 2024-11-15; full-payment capacity is first forecast on 2024-11-15.
request_188,27.32,not_affordable,not_recommended,none,,none,No eligible plan keeps the EUR 900.00 minimum protected through the 90-day forecast.
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today; the plan keeps the retained minimum protected for 90 days.
request_190,880.43,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,Wait and pay EUR 2557.50 on 2024-12-15; full-payment capacity is first forecast on 2024-12-15.
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today; the plan keeps the retained minimum protected for 90 days.
request_192,258.79,not_affordable,not_recommended,none,,none,No eligible plan keeps the USD 1000.00 minimum protected through the 90-day forecast.
request_193,261.62,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,Use the supplied 3-payment installment schedule; full-payment capacity is first forecast on 2024-05-15.
request_194,41326.61,affordable_later,wait,2025-10-23:132800,2025-10-23,none,Wait and pay INR 132800 on 2025-10-23; full-payment capacity is first forecast on 2025-10-23.
request_195,909.89,affordable_later,not_recommended,none,2026-03-15,none,No eligible plan keeps the EUR 700.00 minimum protected through the 90-day forecast.
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today; the plan keeps the retained minimum protected for 90 days.
request_197,0,not_affordable,not_recommended,none,,none,No eligible plan keeps the IDR 26245900 minimum protected through the 90-day forecast.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 today; the plan keeps the retained minimum protected for 90 days.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 today; the plan keeps the retained minimum protected for 90 days.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 today; the plan keeps the retained minimum protected for 90 days.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Pay INR 123900 today; the plan keeps the retained minimum protected for 90 days.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Pay EUR 588.74 today; the plan keeps the retained minimum protected for 90 days.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today; the plan keeps the retained minimum protected for 90 days.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use the supplied 3-payment installment schedule; the plan keeps the retained minimum protected for 90 days.
